Pais,TipoIntercambio,FechaCompleta,Porcentaje,Valor,Fecha
francia,Exportación,2021-01-01T00:00:00.000+01:00,0.9227512877751618,-72586.2,2021-01-01T00:00:00.000+01:00
francia,Exportación,2021-01-02T00:00:00.000+01:00,0.8955885081422067,-62751.2,2021-01-02T00:00:00.000+01:00
francia,Exportación,2021-01-03T00:00:00.000+01:00,0.6138048305719943,-27433.7,2021-01-03T00:00:00.000+01:00
francia,Exportación,2021-01-04T00:00:00.000+01:00,0.40894633650424805,-16894.8,2021-01-04T00:00:00.000+01:00
francia,Exportación,2021-01-05T00:00:00.000+01:00,0.01901543954005935,-1312.4,2021-01-05T00:00:00.000+01:00
francia,Exportación,2021-01-06T00:00:00.000+01:00,0.3271288603565155,-19852.6,2021-01-06T00:00:00.000+01:00
francia,Exportación,2021-01-08T00:00:00.000+01:00,0.10307661977711031,-8888.4,2021-01-08T00:00:00.000+01:00
francia,Exportación,2021-01-09T00:00:00.000+01:00,0.045390239522273286,-3513.2,2021-01-09T00:00:00.000+01:00
francia,Exportación,2021-01-10T00:00:00.000+01:00,0.09738272370940894,-6529.2,2021-01-10T00:00:00.000+01:00
francia,Exportación,2021-01-11T00:00:00.000+01:00,0.016282276437080696,-1035.6,2021-01-11T00:00:00.000+01:00
francia,Exportación,2021-01-12T00:00:00.000+01:00,0.10571424476516704,-7376.0,2021-01-12T00:00:00.000+01:00
francia,Exportación,2021-01-13T00:00:00.000+01:00,0.08594847289072573,-7453.4,2021-01-13T00:00:00.000+01:00
francia,Exportación,2021-01-14T00:00:00.000+01:00,0.07732051465017224,-6664.0,2021-01-14T00:00:00.000+01:00
francia,Exportación,2021-01-15T00:00:00.000+01:00,0.14917565125306953,-11044.1,2021-01-15T00:00:00.000+01:00
francia,Exportación,2021-01-16T00:00:00.000+01:00,0.18633122226100834,-17935.2,2021-01-16T00:00:00.000+01:00
francia,Exportación,2021-01-17T00:00:00.000+01:00,0.19997586532853323,-18891.7,2021-01-17T00:00:00.000+01:00
francia,Exportación,2021-01-18T00:00:00.000+01:00,0.10249728226081183,-9447.4,2021-01-18T00:00:00.000+01:00
francia,Exportación,2021-01-19T00:00:00.000+01:00,0.00587655395803193,-459.0,2021-01-19T00:00:00.000+01:00
francia,Exportación,2021-01-20T00:00:00.000+01:00,0.13357296032026936,-8981.9,2021-01-20T00:00:00.000+01:00
francia,Exportación,2021-01-21T00:00:00.000+01:00,0.6693366624180968,-35815.0,2021-01-21T00:00:00.000+01:00
francia,Exportación,2021-01-22T00:00:00.000+01:00,0.9314342083024559,-57314.5,2021-01-22T00:00:00.000+01:00
francia,Exportación,2021-01-23T00:00:00.000+01:00,0.9321395905639653,-67976.0,2021-01-23T00:00:00.000+01:00
francia,Exportación,2021-01-24T00:00:00.000+01:00,0.9656790789735794,-68352.6,2021-01-24T00:00:00.000+01:00
francia,Exportación,2021-01-25T00:00:00.000+01:00,0.7405644248455406,-50247.0,2021-01-25T00:00:00.000+01:00
