Fecha,Valor_Mercado_Spot,Porcentaje_Mercado_Spot,PVPC_Valor,PVPC_Porcentaje
2020-10-16T11:00:00.000+02:00,43.8,1.0,,
2020-10-08T03:00:00.000+02:00,40.81,1.0,,
2020-10-10T15:00:00.000+02:00,27.61,1.0,,
2020-10-05T10:00:00.000+02:00,43.1,1.0,,
2020-10-20T21:00:00.000+02:00,40.51,1.0,,
2020-10-18T01:00:00.000+02:00,40.4,1.0,,
2020-10-20T16:00:00.000+02:00,35.0,1.0,,
2020-10-24T09:00:00.000+02:00,41.33,1.0,,
2020-10-19T20:00:00.000+02:00,43.33,1.0,,
2020-10-12T09:00:00.000+02:00,41.56,1.0,,
2020-10-19T23:00:00.000+02:00,31.4,1.0,,
2020-10-18T21:00:00.000+02:00,45.65,1.0,,
2020-10-07T01:00:00.000+02:00,40.81,1.0,,
2020-10-28T14:00:00.000+01:00,42.07,1.0,,
2020-10-18T22:00:00.000+02:00,43.17,1.0,,
2020-10-13T01:00:00.000+02:00,33.01,1.0,,
2020-10-12T20:00:00.000+02:00,53.49,1.0,,
2020-10-04T15:00:00.000+02:00,2.5,1.0,,
2020-10-27T07:00:00.000+01:00,46.3,1.0,,
2020-10-08T21:00:00.000+02:00,51.95,1.0,,
2020-10-11T07:00:00.000+02:00,26.15,1.0,,
2020-10-09T02:00:00.000+02:00,41.13,1.0,,
2020-10-15T23:00:00.000+02:00,39.15,1.0,,
2020-10-13T00:00:00.000+02:00,39.1,1.0,,
2020-10-12T02:00:00.000+02:00,29.6,1.0,,
2020-10-12T05:00:00.000+02:00,29.55,1.0,,
2020-10-05T00:00:00.000+02:00,19.81,1.0,,
2020-10-25T10:00:00.000+01:00,13.24,1.0,,
2020-10-31T23:00:00.000+01:00,39.75,1.0,,
2020-10-23T18:00:00.000+02:00,48.94,1.0,,
2020-10-13T09:00:00.000+02:00,49.68,1.0,,
2020-10-09T03:00:00.000+02:00,40.5,1.0,,
2020-10-02T10:00:00.000+02:00,28.0,1.0,,
2020-10-17T04:00:00.000+02:00,38.38,1.0,,
2020-10-19T01:00:00.000+02:00,34.73,1.0,,
2020-10-25T01:00:00.000+02:00,5.51,1.0,,
2020-10-24T07:00:00.000+02:00,31.08,1.0,,
2020-10-21T20:00:00.000+02:00,49.32,1.0,,
2020-10-25T15:00:00.000+01:00,17.92,1.0,,
2020-10-17T17:00:00.000+02:00,43.5,1.0,,
2020-10-26T17:00:00.000+01:00,45.05,1.0,,
2020-10-20T20:00:00.000+02:00,44.83,1.0,,
2020-10-25T22:00:00.000+01:00,32.04,1.0,,
2020-10-30T14:00:00.000+01:00,36.02,1.0,,
2020-10-24T19:00:00.000+02:00,41.17,1.0,,
2020-10-07T13:00:00.000+02:00,38.4,1.0,,
2020-10-12T01:00:00.000+02:00,29.0,1.0,,
2020-10-28T02:00:00.000+01:00,32.6,1.0,,
2020-10-09T23:00:00.000+02:00,33.54,1.0,,
2020-10-17T21:00:00.000+02:00,46.78,1.0,,
2020-10-02T05:00:00.000+02:00,16.89,1.0,,
2020-10-26T11:00:00.000+01:00,34.56,1.0,,
2020-10-04T06:00:00.000+02:00,6.78,1.0,,
2020-10-22T09:00:00.000+02:00,52.49,1.0,,
2020-10-08T05:00:00.000+02:00,41.86,1.0,,
2020-10-06T10:00:00.000+02:00,45.2,1.0,,
2020-10-01T05:00:00.000+02:00,34.04,1.0,,
2020-10-24T17:00:00.000+02:00,28.1,1.0,,
2020-10-28T07:00:00.000+01:00,44.83,1.0,,
2020-10-24T15:00:00.000+02:00,24.02,1.0,,
2020-10-24T10:00:00.000+02:00,40.55,1.0,,
2020-10-29T14:00:00.000+01:00,43.78,1.0,,
2020-10-23T06:00:00.000+02:00,44.86,1.0,,
