FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2022-05-23T22:00:00.000Z,353998.836,1.0,384092.895,1.0,-11783.326,0.015
2022-05-24T22:00:00.000Z,338301.672,1.0,431942.904,1.0,-57226.267,0.067
2022-05-25T22:00:00.000Z,311488.254,1.0,457321.589,1.0,-47198.281,0.056
2022-05-26T22:00:00.000Z,306212.899,1.0,438458.243,1.0,-45146.788,0.057
2022-05-27T22:00:00.000Z,297061.925,1.0,357540.342,1.0,-7766.462,0.011
2022-05-28T22:00:00.000Z,315284.735,1.0,335463.938,1.0,-37963.118,0.053
2022-05-29T22:00:00.000Z,429413.594,1.0,275605.23,1.0,-32784.204,0.044
2022-05-30T22:00:00.000Z,452474.743,1.0,273716.584,1.0,-21868.097,0.029
2022-05-31T22:00:00.000Z,433895.188,1.0,310534.251,1.0,-24960.765,0.032
2022-06-01T22:00:00.000Z,452340.698,1.0,262695.785,1.0,3454.284,0.005
2022-06-02T22:00:00.000Z,467579.694,1.0,272964.475,1.0,-23259.139,0.03
2022-06-03T22:00:00.000Z,410271.097,1.0,274900.126,1.0,-35428.951,0.048
2022-06-04T22:00:00.000Z,377451.439,1.0,277004.935,1.0,-27711.206,0.038
2022-06-05T22:00:00.000Z,406111.268,1.0,290748.87,1.0,-14707.068,0.02
2022-06-06T22:00:00.000Z,461044.296,1.0,293636.138,1.0,-28940.385,0.037
2022-06-07T22:00:00.000Z,437871.299,1.0,357790.987,1.0,-47124.981,0.055
2022-06-08T22:00:00.000Z,434947.458,1.0,370473.475,1.0,-60621.84,0.07
2022-06-09T22:00:00.000Z,418528.383,1.0,318534.515,1.0,4936.696,0.007
2022-06-10T22:00:00.000Z,344556.613,1.0,365462.454,1.0,-23872.268,0.032
2022-06-11T22:00:00.000Z,324923.619,1.0,379148.009,1.0,-35681.062,0.046
2022-06-12T22:00:00.000Z,461156.358,1.0,348638.387,1.0,-42305.922,0.049
2022-06-13T22:00:00.000Z,572641.075,1.0,274714.842,1.0,-45093.777,0.05
2022-06-14T22:00:00.000Z,620113.482,1.0,276307.4,1.0,-70852.99,0.073
2022-06-15T22:00:00.000Z,635609.029,1.0,261388.384,1.0,-71734.472,0.073
2022-06-16T22:00:00.000Z,606417.833,1.0,285381.657,1.0,-66476.533,0.068
2022-06-17T22:00:00.000Z,455448.76,1.0,366573.904,1.0,-86878.39,0.094
